#{"t_start": 1721932980.5830736, "env_id": "None"}
r,l,t
-378.70132,301,1399.027281
-504.84354,301,1400.014821
-517.123,301,1404.223484
-584.50793,301,1405.094193
-13.68461,47,1405.366608
-1016.85986,301,1406.525402
-680.46277,301,1407.441333
-636.56537,301,1412.286544
-302.21643,301,1412.558664
-467.30484,301,1413.735705
-692.05414,301,1414.65354
-482.26376,301,1419.434229
-730.4001,301,1419.687965
-483.6353,301,1420.803451
-408.27402,301,1421.70339
-723.2011,301,1426.449707
-399.4949,301,1426.701721
-59.67643,43,1427.466594
-890.65125,301,1427.848488
-517.7907,301,1428.733728
-760.9142,301,1433.821908
-523.71857,301,1434.625527
-886.6569,301,1435.026505
-16.385174,51,1435.100168
-636.59924,301,1435.958524
-289.5167,301,1442.121822
-324.22498,301,1442.525108
-434.4504,301,1442.601297
-479.6366,301,1443.497577
-173.57016,301,1449.698348
-228.07477,301,1450.117233
-336.00034,301,1450.207852
-229.93906,301,1451.108928
-757.65137,301,1457.452667
-1028.826,301,1457.855339
-434.73267,301,1457.929528
-155.22124,41,1458.488568
-605.62946,301,1458.826624
